,BaseLayer,TopLayer,PosXTop,PosYTop,PosZTop,PosXBase,PosYBase,PosZBase,ConnectingVectorX,ConnectingVectorY,ConnectingVectorZ,AngleOfTilt
0,25,18,10160.8808,29210.227200000005,7542.287200000001,17795.372000000003,28878.292800000003,8925.347200000002,-7634.491200000002,331.9344000000019,-1383.0600000000013,11.805014771151772
1,36,9,10308.4072,29154.904800000004,13240.4944,17942.898400000002,28878.292800000003,14346.942400000002,-7634.491200000002,276.612000000001,-1106.4480000000021,9.764816234116834
2,22,4,10455.933600000002,29099.582400000003,18772.7344,18071.984000000004,28859.852000000003,19805.419200000004,-7616.050400000002,239.73040000000037,-1032.6848000000027,9.23198647224415
3,35,15,10603.460000000005,28970.4968,24452.5008,18219.510400000003,28915.174400000004,25227.014400000004,-7616.050399999998,55.32239999999729,-774.513600000002,7.408954728015952
4,40,11,9958.032000000005,24378.7376,4794.608,17592.523200000003,24249.652,6306.7536,-7634.491199999999,129.08560000000216,-1512.1455999999998,12.72742167651199
5,30,6,10105.558400000002,24378.7376,10437.492800000002,17740.049600000002,24249.652,11709.908,-7634.4912,129.08560000000216,-1272.4151999999976,10.988875518724686
6,27,5,10253.0848,24304.974400000003,16172.581600000003,17887.576,24231.2112,17113.062400000003,-7634.4912,73.76320000000123,-940.4807999999994,8.594510881803
7,23,12,10400.6112,24231.2112,21760.144000000004,18016.6616,24231.2112,22516.2168,-7616.0504,0.0,-756.0727999999945,7.351186632209355
8,34,7,10548.137600000002,24157.448,27366.147200000003,18164.188,24249.652,27919.371200000005,-7616.050399999996,-92.2039999999979,-553.224000000002,6.102894508190642
9,7,3,10677.223200000002,24120.5664,32843.0648,18311.7144,24268.0928,33174.9992,-7634.491199999999,-147.52639999999883,-331.9343999999983,4.81675354717286
10,31,14,9902.709600000002,19602.5704,7726.6952,17537.200800000002,19473.4848,8980.669600000001,-7634.4912,129.08560000000216,-1253.974400000001,10.85439733780265
11,10,13,10050.236000000004,19547.248000000003,13314.257600000004,17684.727200000005,19473.4848,14402.2648,-7634.4912,73.76320000000487,-1088.0071999999964,9.675471712485434
12,14,21,10197.7624,19491.9256,19049.3464,17813.812800000003,19510.366400000003,19786.978400000004,-7616.050400000004,-18.440800000003946,-737.6320000000051,7.248528514328036
13,37,19,9681.420000000002,14826.403200000002,4831.489600000001,17334.352000000003,14844.844,6343.635200000001,-7652.932000000001,-18.44079999999667,-1512.1455999999998,12.802323194888483
14,32,10,9828.946400000004,14789.521600000002,10548.137600000002,17481.8784,14844.844,11746.789600000002,-7652.931999999997,-55.32239999999729,-1198.652,10.59998966605862
15,9,24,9994.913600000002,14641.995200000005,16356.989600000004,17629.4048,14863.2848,17205.2664,-7634.491199999999,-221.2895999999946,-848.276799999996,8.487970372436438
16,15,22,10142.44,14549.7912,22018.315200000005,17776.931200000003,14918.607200000002,22608.4208,-7634.491200000002,-368.81600000000253,-590.1055999999953,7.3447009456676025
17,18,2,10271.5256,14512.909600000005,27476.792000000005,17906.0168,14881.725600000002,27974.6936,-7634.4912,-368.8159999999971,-497.9015999999938,6.802646571551943
18,4,1,10419.052,14549.7912,32916.828,18053.5432,14900.166400000002,33193.439999999995,-7634.4912,-350.3752000000022,-276.6119999999937,5.524114809548414
19,39,20,9626.0976,9976.4728,7745.136,17279.0296,10160.8808,9072.8736,-7652.9320000000025,-184.40800000000127,-1327.7376000000004,11.726534247195083
20,21,23,9773.624000000002,9902.709600000002,13480.224800000002,17426.556000000004,10179.3216,14494.468800000002,-7652.9320000000025,-276.61199999999735,-1014.2440000000006,9.75911172694799
21,12,17,9921.150400000002,9718.3016,19289.076800000003,17574.082400000003,10160.8808,19916.064,-7652.932000000001,-442.5792000000001,-626.9871999999959,7.881379269063033
22,11,16,10087.117600000003,9718.3016,25061.0472,17721.6088,10216.203200000002,25319.2184,-7634.491199999999,-497.90160000000105,-258.1712000000007,6.326718814910211
23,17,8,10216.203200000002,9718.3016,30445.760800000004,17850.694400000004,10179.3216,30667.050400000004,-7634.491200000002,-461.0199999999986,-221.28960000000006,5.946224241383007
