Name,Unit,Caption,PosX,PosY,PosZ
Centroids of top layer,Micrometers,1,12809.638323098277,34855.07033967519,12531.959782990507
Centroids of top layer,Micrometers,2,12090.731129856618,34664.88633025394,19603.7268379154
Centroids of top layer,Micrometers,3,10694.700093361034,34575.1039736592,33495.51994739313
Centroids of top layer,Micrometers,4,11362.613747835645,34547.12025718085,26820.094402254064
Centroids of top layer,Micrometers,5,10451.06127485476,17976.773880246354,35115.12926359668
Centroids of top layer,Micrometers,6,13576.339018273136,34321.07498561472,4882.349685739961
Centroids of top layer,Micrometers,7,13752.55768359439,5988.2974532326625,1953.6643189465904
Centroids of top layer,Micrometers,8,13807.520517581603,18236.06786462466,1920.2018146029554
Centroids of top layer,Micrometers,9,13848.62661851683,30447.62930784257,2176.1732438074523
Centroids of top layer,Micrometers,10,13171.52414421974,5836.150245695659,7726.832903128111
Centroids of top layer,Micrometers,11,12441.58130439611,5790.802108970748,14943.107301578537
Centroids of top layer,Micrometers,12,11697.843906345013,5926.498813116269,22340.015879435876
Centroids of top layer,Micrometers,13,10959.624331584904,5989.777580913618,29664.670785530452
Centroids of top layer,Micrometers,14,13591.796700637353,24538.256160625842,4447.926890030203
Centroids of top layer,Micrometers,15,12490.893815935715,31372.611976977332,15525.906343426732
Centroids of top layer,Micrometers,16,11031.817240482249,30883.617053612565,30139.834646840398
Centroids of top layer,Micrometers,17,11775.63753829937,31037.592094859734,22597.859730128104
Centroids of top layer,Micrometers,18,12051.697581946599,11619.532068143562,18985.18476107219
Centroids of top layer,Micrometers,19,13178.099126987268,31018.74754693221,8633.859531831728
Centroids of top layer,Micrometers,20,12126.43464758212,24664.81369622054,18880.196189266342
Centroids of top layer,Micrometers,21,11726.088902895614,18355.314065378698,22740.401486277664
Centroids of top layer,Micrometers,22,11380.851066786861,24800.51040036606,26313.278185949184
Centroids of top layer,Micrometers,23,12852.664396975915,24637.74389659728,11772.53521318066
Centroids of top layer,Micrometers,24,11309.847816522679,11900.06464498543,26273.386750676553
Centroids of top layer,Micrometers,25,13563.427354437716,11674.933290274379,4265.140791470847
Centroids of top layer,Micrometers,26,12786.26624110139,11701.08917304256,11660.343523201142
Centroids of top layer,Micrometers,27,10949.840518460614,18345.260979972794,30135.650800952084
Centroids of top layer,Micrometers,28,13211.738241195144,18156.33859343583,7946.49116467475
Centroids of top layer,Micrometers,29,12433.622949074477,18073.867571681752,15414.180482888403
Centroids of top layer,Micrometers,30,10640.375880394136,26095.80800293743,33782.888542205124
Centroids of top layer,Micrometers,31,10574.692957588984,10333.025928093813,33634.465713122576
